#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
2812_g               -           1536 108at5820            -           2628  1.5e-146  487.6 190.1   1   5   5.7e-17   7.6e-14   47.3   5.9   763   805     2    44     1   104 0.70 length=1536	scaffold=scaffold00684	strand=-
2812_g               -           1536 108at5820            -           2628  1.5e-146  487.6 190.1   2   5   1.9e-25   2.5e-22   75.4  13.7   801   893   124   217   121   237 0.93 length=1536	scaffold=scaffold00684	strand=-
2812_g               -           1536 108at5820            -           2628  1.5e-146  487.6 190.1   3   5   4.7e-70   6.2e-67  223.4  63.9   858  1148   244   573   237   576 0.86 length=1536	scaffold=scaffold00684	strand=-
2812_g               -           1536 108at5820            -           2628  1.5e-146  487.6 190.1   4   5   2.5e-46   3.4e-43  144.7  58.7  1106  1369   679   962   630   996 0.83 length=1536	scaffold=scaffold00684	strand=-
2812_g               -           1536 108at5820            -           2628  1.5e-146  487.6 190.1   5   5   9.8e-09   1.3e-05   20.0   8.9  1393  1502  1371  1484  1366  1497 0.72 length=1536	scaffold=scaffold00684	strand=-
3908_g               -            963 108at5820            -           2628   8.7e-99  329.1  80.1   1   6     0.018        24   -0.8   0.4  2170  2199     6    35     1    42 0.79 length=963	scaffold=scaffold01491	strand=-
3908_g               -            963 108at5820            -           2628   8.7e-99  329.1  80.1   2   6   1.5e-46     2e-43  145.5  21.1  2192  2332    54   204    48   217 0.90 length=963	scaffold=scaffold01491	strand=-
3908_g               -            963 108at5820            -           2628   8.7e-99  329.1  80.1   3   6         3     4e+03   -9.1   5.9   638   664   407   432   370   449 0.45 length=963	scaffold=scaffold01491	strand=-
3908_g               -            963 108at5820            -           2628   8.7e-99  329.1  80.1   4   6   7.2e-51   9.6e-48  159.8  37.3  2328  2503   492   680   485   704 0.86 length=963	scaffold=scaffold01491	strand=-
3908_g               -            963 108at5820            -           2628   8.7e-99  329.1  80.1   5   6   0.00095       1.3    3.5  18.0  2472  2523   713   764   702   767 0.82 length=963	scaffold=scaffold01491	strand=-
3908_g               -            963 108at5820            -           2628   8.7e-99  329.1  80.1   6   6   6.1e-19   8.1e-16   53.9   5.7  2520  2573   910   963   804   963 0.89 length=963	scaffold=scaffold01491	strand=-
2813_g               -            805 108at5820            -           2628   1.8e-62  208.7 100.0   1   4   5.1e-15   6.8e-12   40.9   9.3   158   242     8   108     3   109 0.78 length=805	scaffold=scaffold00684	strand=-	adjustedToFrame=2
2813_g               -            805 108at5820            -           2628   1.8e-62  208.7 100.0   2   4   7.5e-31   9.9e-28   93.4  39.9   241   453   133   408   128   413 0.74 length=805	scaffold=scaffold00684	strand=-	adjustedToFrame=2
2813_g               -            805 108at5820            -           2628   1.8e-62  208.7 100.0   3   4   3.7e-19   4.9e-16   54.6  14.3   550   668   410   535   407   593 0.75 length=805	scaffold=scaffold00684	strand=-	adjustedToFrame=2
2813_g               -            805 108at5820            -           2628   1.8e-62  208.7 100.0   4   4     1e-13   1.4e-10   36.5  14.0   628   731   626   726   615   745 0.74 length=805	scaffold=scaffold00684	strand=-	adjustedToFrame=2
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /export/home/bio1901/Documents/29_BINP/OrthoSearch/busco_downloads/lineages/plasmodium_odb10/hmms/108at5820.hmm
# Target file:     Results/1_GeneSequences/PB.faa
# Option settings: /home/users/bio1901/miniconda3/envs/busco/bin/hmmsearch --domtblout /export/home/bio1901/Documents/29_BINP/OrthoSearch/PB/run_plasmodium_odb10/hmmer_output/108at5820.out --cpu 1 /export/home/bio1901/Documents/29_BINP/OrthoSearch/busco_downloads/lineages/plasmodium_odb10/hmms/108at5820.hmm Results/1_GeneSequences/PB.faa 
# Current dir:     /export/home/bio1901/Documents/29_BINP/OrthoSearch
# Date:            Sun Mar 15 17:41:04 2020
# [ok]
