#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
3934_g               -            343 11664at5820          -            281  2.6e-133  441.5  48.8   1   1  3.8e-136    3e-133  441.2  48.8     1   281    17   316    17   316 0.94 length=343	scaffold=scaffold01519	strand=-
1108_g               -            487 11664at5820          -            281   2.5e-19   67.5  38.6   1   1   7.2e-22   5.8e-19   66.3  38.6    23   268   122   363   109   371 0.83 length=487	scaffold=scaffold00142	strand=+
3347_g               -            897 11664at5820          -            281   6.5e-09   33.3  86.1   1   6         4   3.2e+03   -5.0   4.2    68   117    92   141    32   176 0.64 length=897	scaffold=scaffold01012	strand=+
3347_g               -            897 11664at5820          -            281   6.5e-09   33.3  86.1   2   6     0.034        27    1.8  26.8    71   266   207   416   179   429 0.71 length=897	scaffold=scaffold01012	strand=+
3347_g               -            897 11664at5820          -            281   6.5e-09   33.3  86.1   3   6   6.4e-10   5.1e-07   27.1  24.1    57   158   463   564   417   588 0.77 length=897	scaffold=scaffold01012	strand=+
3347_g               -            897 11664at5820          -            281   6.5e-09   33.3  86.1   4   6   0.00031      0.25    8.5   3.9    79   146   623   690   613   699 0.83 length=897	scaffold=scaffold01012	strand=+
3347_g               -            897 11664at5820          -            281   6.5e-09   33.3  86.1   5   6   2.1e-06    0.0017   15.6  22.0    61   158   646   758   643   759 0.79 length=897	scaffold=scaffold01012	strand=+
3347_g               -            897 11664at5820          -            281   6.5e-09   33.3  86.1   6   6   6.7e-08   5.4e-05   20.5  24.0     8   140   696   826   691   845 0.69 length=897	scaffold=scaffold01012	strand=+
1578_g               -            218 11664at5820          -            281   5.6e-07   27.0  14.3   1   2      0.18   1.5e+02   -0.6   0.1   137   158    64    85    57    99 0.79 length=218	scaffold=scaffold00245	strand=+
1578_g               -            218 11664at5820          -            281   5.6e-07   27.0  14.3   2   2     7e-10   5.6e-07   27.0  14.3    52   139   122   213   100   217 0.65 length=218	scaffold=scaffold00245	strand=+
576_g                -            484 11664at5820          -            281     9e-07   26.3  21.8   1   3   1.1e-09     9e-07   26.3  21.8    58   138    20   101     3   120 0.83 length=484	scaffold=scaffold00057	strand=+
576_g                -            484 11664at5820          -            281     9e-07   26.3  21.8   2   3    0.0014       1.2    6.3   0.5   230   277   146   191   126   195 0.66 length=484	scaffold=scaffold00057	strand=+
576_g                -            484 11664at5820          -            281     9e-07   26.3  21.8   3   3      0.78   6.2e+02   -2.7   1.0   185   218   236   268   207   313 0.65 length=484	scaffold=scaffold00057	strand=+
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /export/home/bio1901/Documents/29_BINP/OrthoSearch/busco_downloads/lineages/plasmodium_odb10/hmms/11664at5820.hmm
# Target file:     Results/1_GeneSequences/PB.faa
# Option settings: /home/users/bio1901/miniconda3/envs/busco/bin/hmmsearch --domtblout /export/home/bio1901/Documents/29_BINP/OrthoSearch/PB/run_plasmodium_odb10/hmmer_output/11664at5820.out --cpu 1 /export/home/bio1901/Documents/29_BINP/OrthoSearch/busco_downloads/lineages/plasmodium_odb10/hmms/11664at5820.hmm Results/1_GeneSequences/PB.faa 
# Current dir:     /export/home/bio1901/Documents/29_BINP/OrthoSearch
# Date:            Sun Mar 15 17:41:59 2020
# [ok]
